轮次,学习率,训练损失,训练准确率,验证损失,验证准确率,本轮耗时（秒）,累计耗时（秒）
1,0.1,1.5111455614301894,0.44162222222222225,1.738355567741394,0.4722,22.34817910000129,22.348182499999893
2,0.1,1.028045259306166,0.632,1.0585768363952637,0.6366,22.08048570000028,44.43659920000027
3,0.1,0.8523291986253526,0.6978444444444445,0.857958645248413,0.708,22.094024200001513,66.53726559999996
4,0.1,0.7343588290956286,0.7409555555555556,0.8170341476917267,0.722,22.053194100000837,88.5974839999999
5,0.1,0.646647161632114,0.7748888888888888,0.6476101374149322,0.772,22.031438699999853,110.63612990000001
6,0.1,0.5810024434089661,0.7989555555555555,0.6249438965797425,0.7884,22.099933800000144,132.74331750000056
7,0.1,0.5326771539794074,0.8159111111111111,0.5807302835464477,0.804,22.17333150000013,154.9232490000013
8,0.1,0.49202692329618664,0.8299555555555556,0.5461908489227295,0.8222,22.1185441000016,177.04912540000078
9,0.1,0.4653823074473275,0.8377111111111111,0.5302901991844178,0.8228,22.077382899999066,199.1346964000004
10,0.1,0.43723912732866077,0.8489111111111111,0.4459525511741638,0.8518,22.137216900000567,221.2791257000008
11,0.1,0.4132351793501112,0.8573555555555555,0.7133408483743667,0.7942,22.07816819999971,243.36478270000043
12,0.1,0.399753597969479,0.8602666666666666,0.5314293224334716,0.825,22.149750500000664,265.5146526999997
13,0.1,0.37986517967118155,0.8681333333333333,0.5031028280735016,0.837,22.060977500001172,287.5757579000001
14,0.1,0.3643530937830607,0.8729555555555556,0.4707916921615601,0.846,22.083158299999923,309.65904170000067
15,0.1,0.35696784062915377,0.8749555555555556,0.4905552526473999,0.84,22.229513000000225,331.8886749000012
16,0.1,0.3445368177202013,0.8814,0.5396100551366806,0.8282,22.080069399999047,353.96885570000086
17,0.1,0.3318675659497579,0.8860888888888889,0.5144352403640747,0.8362,22.035865099998773,376.0048794000013
18,0.1,0.32482197597556645,0.8876666666666667,0.41461859307289123,0.869,22.124524400000155,398.1295220000011
19,0.1,0.3151804732852512,0.8918,0.5273609835624695,0.8312,22.064316100000724,420.2008837000012
20,0.1,0.3155856827735901,0.8917111111111111,0.49435464828014375,0.8476,22.05929610000021,442.2602917000004
21,0.1,0.3078575159072876,0.8938,0.4961369626522064,0.8422,22.124465099999725,464.3848740000012
22,0.1,0.2986319162276056,0.8970444444444444,0.47513123788833617,0.8458,22.058562000000165,486.4436244000008
23,0.1,0.293025665251414,0.8981111111111111,0.5700690050125122,0.8292,22.165115299998433,508.60885770000095
24,0.1,0.28801055104997425,0.9031777777777777,0.38661276252269744,0.876,22.076023200001146,530.6850004000007
25,0.1,0.28318395858340795,0.9018666666666667,0.3885729197978973,0.8676,22.02678249999917,552.7195146000013
26,0.1,0.2794101654635535,0.9038,0.44232069063186646,0.8656,22.12390570000025,574.8435423999999
27,0.1,0.2706401649687025,0.9065555555555556,0.5369645783424377,0.835,22.066477000000305,596.9101410000003
28,0.1,0.2729929207060072,0.9056888888888889,0.36366926312446596,0.8794,22.048473199998625,618.9587374000002
29,0.1,0.2627028657648299,0.9085333333333333,0.4196398607254028,0.8718,22.121627399999852,641.0879689000012
30,0.1,0.2626621297372712,0.9088666666666667,0.40141525292396546,0.8722,22.415672900000573,663.5037613000004
31,0.1,0.25680131120151944,0.9106666666666666,0.36843425862789153,0.8818,22.39855720000014,685.9024422000002
32,0.1,0.25372858093447154,0.9132222222222223,0.3878392870903015,0.8716,22.06229979999989,707.9718630000007
33,0.1,0.2516923275417752,0.9128222222222222,0.6364019322752953,0.8144,22.13554479999948,730.1075326000009
34,0.1,0.25490896006690134,0.9117777777777778,0.41427487602233887,0.8682,22.1377164000005,752.2453724000006
35,0.1,0.250145400641693,0.9130444444444444,0.4056065835952759,0.8772,22.14737200000127,774.3928687999996
